Tue Nov 15 20:28:46 2022    output.dat

         300715 function calls (298357 primitive calls) in 95.256 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18   40.548    2.253   40.548    2.253 {method 'InvokeTypes' of 'PyIDispatch' objects}
        9   27.369    3.041   27.369    3.041 {built-in method builtins.input}
        8   22.319    2.790   22.319    2.790 {built-in method _winapi.WaitForSingleObject}
        1    2.016    2.016    2.210    2.210 {method 'mainloop' of '_tkinter.tkapp' objects}
        1    2.001    2.001    2.001    2.001 {built-in method pygame.time.wait}
        1    0.362    0.362    0.362    0.362 {built-in method _tkinter.create}
     1440    0.082    0.000    0.082    0.000 {built-in method nt._getfinalpathname}
       19    0.072    0.004    0.072    0.004 {built-in method io.open}
      231    0.061    0.000    0.073    0.000 {method 'call' of '_tkinter.tkapp' objects}
      911    0.031    0.000    0.031    0.000 {built-in method nt.stat}
       45    0.029    0.001    0.029    0.001 {method 'globalsetvar' of '_tkinter.tkapp' objects}
        8    0.024    0.003    0.024    0.003 {built-in method _winapi.CreateProcess}
       63    0.019    0.000    0.023    0.000 {built-in method builtins.print}
        1    0.017    0.017    0.017    0.017 {built-in method _imp.create_dynamic}
        2    0.012    0.006    0.012    0.006 {built-in method matplotlib.backends._tkagg.blit}
        1    0.011    0.011    0.011    0.011 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1403(_get_font)
     1532    0.009    0.000    0.016    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:463(normpath)
       46    0.008    0.000    0.008    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       94    0.008    0.000    0.150    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:850(getmodule)
        3    0.006    0.002    0.027    0.009 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
       10    0.006    0.001    0.006    0.001 {method 'readlines' of '_io._IOBase' objects}
        4    0.006    0.001    0.006    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\numpy\linalg\linalg.py:476(inv)
      115    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
       10    0.005    0.001    0.005    0.001 {built-in method io.open_code}
  984/883    0.005    0.000    0.018    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1599    0.005    0.000    0.005    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1188(score_stretch)
35632/35626    0.005    0.000    0.007    0.000 {built-in method builtins.isinstance}
       26    0.004    0.000    0.005    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1599    0.004    0.000    0.006    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1130(score_family)
    10880    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
      720    0.003    0.000    0.098    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:638(realpath)
     2273    0.003    0.000    0.004    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:124(splitdrive)
      890    0.003    0.000    0.040    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:813(getsourcefile)
    11239    0.003    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:182(ismodule)
        7    0.003    0.000    0.003    0.000 {method 'decode' of 'ImagingDecoder' objects}
      332    0.003    0.000    0.003    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5047    0.002    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\__init__.py:653(__getitem__)
      803    0.002    0.000    0.002    0.000 {method 'getint' of '_tkinter.tkapp' objects}
       10    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       43    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.point_in_path}
28080/27938    0.002    0.000    0.002    0.000 {built-in method builtins.len}
       61    0.002    0.000    0.007    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\tkinter\__init__.py:1576(_substitute)
      165    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
        3    0.002    0.001    0.002    0.001 {pandas._libs.ops.scalar_compare}
     2252    0.002    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:44(normcase)
     1599    0.002    0.000    0.005    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\font_manager.py:1206(score_weight)
    14191    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
       18    0.002    0.000    0.002    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
2692/2184    0.002    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:290(stale)
     1247    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
      516    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:207(set_children)
     6188    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       18    0.001    0.000    0.001    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.001    0.001    0.002    0.002 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\backends\backend_agg.py:87(__init__)
  766/762    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      952    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1783(__init__)
     1688    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
     2088    0.001    0.000    0.003    0.000 {built-in method builtins.any}
        7    0.001    0.000    0.001    0.000 {built-in method PIL._imaging.new}
      614    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     3962    0.001    0.000    0.002    0.000 {built-in method builtins.getattr}
       37    0.001    0.000    0.001    0.000 {built-in method builtins.round}
      266    0.001    0.000    0.006    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\artist.py:1046(update)
      812    0.001    0.000    0.038    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:838(getabsfile)
      720    0.001    0.000    0.003    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\ntpath.py:61(isabs)
        1    0.001    0.001    0.001    0.001 {pandas._libs.lib.array_equivalent_object}
       31    0.001    0.000    0.001    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      320    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:1691(normalize_kwargs)
      812    0.001    0.000    0.001    0.000 {built-in method nt._getfullpathname}
       10    0.001    0.000    0.001    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\pandas\core\array_algos\take.py:554(_take_preprocess_indexer_and_fill_value)
     3553    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     3465    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
       24    0.001    0.000    0.005    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\ticker.py:633(format_data_short)
     6952    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       20    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      618    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:1900(__init__)
     1001    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\inspect.py:773(getfile)
     3553    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\abc.py:117(__instancecheck__)
      591    0.001    0.000    0.037    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\cbook\__init__.py:276(process)
       14    0.001    0.000    0.001    0.000 {method 'convert' of 'ImagingCore' objects}
        1    0.001    0.001    0.001    0.001 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\figure.py:2147(__init__)
      237    0.001    0.000    0.002    0.000 C:\Users\dhruv\AppData\Local\Programs\Python\Python310\lib\site-packages\matplotlib\transforms.py:767(__init__)
